ID,Name,Price,"Quantity on Hand"
637,"Winter Sky Wardrobe",$719.99,47
638,"Bright green Sectional","$1,039.99",118
639,"Seal brown Dining Chair",$89.99,27
640,"Blue yonder Storage Bench",$194.99,145
641,"Deep chestnut Coffee Table",$222.95,216
642,"Royal blue Headboard",$222.99,217
643,"Straw Dining Table",$800,107
644,"Burgundy Dining Table",$800,173
645,"Maximum blue purple Loveseat",$669.99,233
646,"Ultra red Daybed",$711.99,30
647,"Burnt orange Dining Table",$800,138
648,"Wine dregs maroon Nightstand",$81.99,70
649,"Blue bell Sofa",$1249.99,249
650,"Sizzling Sunrise yellow Coffee Table",$222.95,250
651,"Denim blue Daybed",$711.99,193
652,"Apricot Sleeper Sofa","$1,279.99",153
653,"Sheen green Bench",$114.99,200
654,"Smoky black Loveseat",$669.99,124
655,"OU Crimson red Bench",$114.99,150
656,"Yellow Sunshine Headboard",$222.99,140
657,"Manatee grey End Table",$99.99,235
658,"School Bus Yellow Coffee Table",$222.95,29
659,"Maximum blue Dining Chair",$89.99,236
660,"Burnt umber Sleeper Sofa","$1,279.99",165
661,"Bitter lime Dresser",$599.99,198
662,"Cerulean frost Sleeper Sofa","$1,279.99",205
663,"Plump Purple Bed",$389.99,84
664,"Ruby red Sleeper Sofa","$1,279.99",183
665,"Lion gold Chaise Lounge",$235.99,202
666,"Hot pink Reclining Loveseat","$1,023.99",98
667,"Cadmium yellow Chaise Lounge",$235.99,93
668,"School Bus Yellow Headboard",$222.99,186
669,"Pink lavender Dining Table",$800,149
670,"Key lime Nightstand",$81.99,99
671,"Light French beige Sleeper Sofa","$1,279.99",68
672,"Deep cerise Futon",$419.99,147
673,"Lemon meringue Bench",$114.99,116
674,"French pink Headboard",$222.99,146
675,"Oxford blue Plant Stand",$42.99,189
676,"Blanched almond Chaise Lounge",$235.99,105
677,"Coffee Bench",$114.99,209
678,"KSU purple Bench",$114.99,222
679,"Dark sky blue Stool",$54.99,130
680,"French rose Daybed",$711.99,174
681,"French sky blue Headboard",$222.99,67
682,"Silver Futon",$419.99,128
683,"UP Forest green Stool",$54.99,95
684,"Pictorial carmine Sleeper Sofa","$1,279.99",118
685,"Roman silver Sofa",$1249.99,91
686,"New York pink Bench",$114.99,182
687,"Dark moss green Nightstand",$81.99,95
688,"Ultramarine blue Reclining Loveseat","$1,023.99",240
689,"Bittersweet shimmer Dresser",$599.99,222
690,"Rosewood Nightstand",$81.99,205
691,"Razzmic Berry Storage Bench",$194.99,208
692,"Baby powder blue Coffee Table",$222.95,30
693,"Green Plant Stand",$42.99,236
694,"French lime Dining Table",$800,65
695,"Blood red Plant Stand",$42.99,206
696,"Battleship grey Ottoman",$92.99,156
697,"Persian pink Crib",$289,183
698,"Yellow Sunshine Plant Stand",$42.99,154
699,"Olive green Wardrobe",$719.99,29
700,"Brick red Ottoman",$92.99,175
701,"Orange peel Nightstand",$81.99,171
702,"Mandarin Plant Stand",$42.99,95
703,"MSU green Coffee Table",$222.95,234
704,"Bright green Loveseat",$669.99,33
705,"Honeydew Futon",$419.99,201
706,"Rifle green Sectional","$1,039.99",64
707,"Spanish violet Coffee Table",$222.95,244
708,"Cosmic latte Dining Chair",$89.99,41
709,"Super pink Sofa",$1249.99,69
710,"Paris Green Chaise Lounge",$235.99,77
711,"Orange-red Wardrobe",$719.99,66
712,"Mode beige End Table",$99.99,71
713,"Dark jungle green Dresser",$599.99,156
714,"Corn Ottoman",$92.99,55
715,"Titanium yellow Stool",$54.99,37
716,"Schauss pink Chaise Lounge",$235.99,62
717,"Dark electric blue Dresser",$599.99,40
718,"Tropical rainforest Dresser",$599.99,41
719,"French lime Sectional","$1,039.99",186
720,"Puce Crib",$289,52
721,"Coral Reclining Loveseat","$1,023.99",40
722,"Coyote brown Futon",$419.99,242
723,"Dark olive green Coffee Table",$222.95,236
724,"French pink Sofa",$1249.99,197
725,"Mikado yellow Coffee Table",$222.95,156
726,"Magic mint Sleeper Sofa","$1,279.99",126
727,"White Sleeper Sofa","$1,279.99",153
728,"Shiny Shamrock Sleeper Sofa","$1,279.99",56
729,"Neon green Daybed",$711.99,31
730,"Robin egg blue Storage Bench",$194.99,119
731,"English vermillion Bench",$114.99,248
732,"French sky blue End Table",$99.99,162
733,"Slimy green Storage Bench",$194.99,48
734,"Pansy purple Crib",$289,86
735,"Fire opal Sleeper Sofa","$1,279.99",144
736,"Black olive Bed",$389.99,201
737,"Mango Tango Plant Stand",$42.99,157
738,"Safety yellow Chaise Lounge",$235.99,60
739,"Thistle grey Futon",$419.99,116
740,"Rebecca Purple Sectional","$1,039.99",211
741,"Orange-red Headboard",$222.99,59
742,"Persian green Wardrobe",$719.99,43
743,"Champagne pink Daybed",$711.99,173
744,"Middle red Crib",$289,240
745,"Electric violet Dresser",$599.99,199
746,"Yellow Sunshine Ottoman",$92.99,44
747,"Light gray Daybed",$711.99,60
748,"Old burgundy Wardrobe",$719.99,111
749,"Bleu de France Bench",$114.99,56
750,"Violet Sectional","$1,039.99",25
751,"Parchment Daybed",$711.99,145
752,"Orange Chaise Lounge",$235.99,34
753,"Canary yellow Sofa",$1249.99,230
754,"Chinese yellow Sleeper Sofa","$1,279.99",61
755,"Sonic silver Stool",$54.99,61
756,"Rose bonbon Loveseat",$669.99,75
757,"Dark cornflower blue Plant Stand",$42.99,144
758,"Blue jeans Dining Table",$800,68
759,"Antique bronze Headboard",$222.99,32
760,"Ming Reclining Loveseat","$1,023.99",228
761,"Gray Dining Table",$800,214
762,"Russet brown Headboard",$222.99,199
763,"Red Bench",$114.99,242
764,"Pumpkin Dining Table",$800,231
765,"Azure Sleeper Sofa","$1,279.99",217
766,"Dark slate blue Crib",$289,138
767,"Indian yellow Wardrobe",$719.99,236
768,"Mode beige Dining Chair",$89.99,211
769,"Frostbite pink Reclining Loveseat","$1,023.99",104
770,"Dark spring green Sofa",$1249.99,112
771,"Earth yellow Bench",$114.99,105
772,"Antique fuchsia Reclining Loveseat","$1,023.99",99
773,"Mango Tango Dresser",$599.99,111
774,"UA blue Coffee Table",$222.95,138
775,"Burnt orange Dining Table",$800,218
776,"Middle grey Sofa",$1249.99,195
777,"Carmine Reclining Loveseat","$1,023.99",145
778,"Earth yellow Wardrobe",$719.99,173
779,"Persian orange Reclining Loveseat","$1,023.99",76
780,"Rose ebony Nightstand",$81.99,199
781,"Prune Reclining Sofa","$1,119.99",230
782,"Lapis lazuli Nightstand",$81.99,194
783,"Persimmon Bed",$389.99,243
784,"French raspberry Ottoman",$92.99,134
785,"Warm black Dining Chair",$89.99,234
786,"Queen pink Sleeper Sofa","$1,279.99",30
787,"Maximum yellow red Sectional","$1,039.99",190
788,"Umber Dining Chair",$89.99,184
789,"Medium sea green Plant Stand",$42.99,140
790,"Wild Strawberry Bench",$114.99,157
791,"Black bean Coffee Table",$222.95,36
792,"Dark violet Nightstand",$81.99,167
793,"Blue-violet Futon",$419.99,98
794,"Upsdell red Futon",$419.99,127
795,"Deep taupe End Table",$99.99,210
796,"Gray Storage Bench",$194.99,129
797,"Sacramento State green Stool",$54.99,242
798,"Prune Reclining Loveseat","$1,023.99",25
799,"Old silver Dresser",$599.99,161
800,"Dark blue-gray End Table",$99.99,204
801,"Cobalt blue Bench",$114.99,48
802,"Phthalo blue Daybed",$711.99,27
803,"Amaranth red Sofa",$1249.99,33
804,"Russet brown Daybed",$711.99,33
805,"Mauve Sectional","$1,039.99",80
806,"Cerulean frost Headboard",$222.99,41
807,"Cobalt blue Sofa",$1249.99,147
808,"Mode beige Wardrobe",$719.99,238
809,"Warm black Dining Chair",$89.99,248
810,"Dark magenta Bed",$389.99,126
811,"Amber Storage Bench",$194.99,73
812,"Cocoa brown Stool",$54.99,41
813,"Bitter lime Futon",$419.99,245
814,"Prussian blue Sofa",$1249.99,215
815,"Light blue Headboard",$222.99,31
816,"Mystic maroon Sectional","$1,039.99",154
817,"Yellow Wardrobe",$719.99,127
818,"Deep Space Sparkle Headboard",$222.99,239
819,"Light yellow Futon",$419.99,242
820,"Deep pink Loveseat",$669.99,238
821,"Azure Futon",$419.99,189
822,"Cadet blue Headboard",$222.99,81
823,"Silver Dining Table",$800,35
824,"Tickle Me Pink Reclining Loveseat","$1,023.99",102
825,"Cherry blossom pink Coffee Table",$222.95,74
826,"Baby pink Crib",$289,140
827,"English red Sleeper Sofa","$1,279.99",158
828,"Dodger blue Loveseat",$669.99,206
829,"Rose ebony Bench",$114.99,165
830,"Laser lemon Sectional","$1,039.99",231
831,"Little boy blue Dining Table",$800,139
832,"Prussian blue Wardrobe",$719.99,106
833,"Brick red Reclining Loveseat","$1,023.99",198
834,"English green Stool",$54.99,150
835,"Tawny Dresser",$599.99,134
836,"Middle yellow Dresser",$599.99,137
837,"Opal Reclining Loveseat","$1,023.99",91
838,"Japanese violet Storage Bench",$194.99,235
839,"Neon fuchsia Sofa",$1249.99,31
840,"Dark sea green Futon",$419.99,177
841,"Champagne pink Dresser",$599.99,191
842,"Burnished brown Futon",$419.99,205
843,"Maroon Futon",$419.99,37
844,"Spring bud Headboard",$222.99,234
845,"Dark sea green Nightstand",$81.99,138
846,"Lime Coffee Table",$222.95,57
847,"Sweet Brown Sleeper Sofa","$1,279.99",101
848,"Dark lava Coffee Table",$222.95,212
849,"Tea green Crib",$289,214
850,"Chartreuse Reclining Sofa","$1,119.99",241
851,"Queen pink End Table",$99.99,215
852,"Indian red Crib",$289,35
853,"Picotee blue Coffee Table",$222.95,209
854,"Van Dyke brown Ottoman",$92.99,34
855,"Corn Ottoman",$92.99,118
856,"French pink Reclining Sofa","$1,119.99",183
857,"Army green Headboard",$222.99,150
858,"Wine red Stool",$54.99,123
859,"Timberwolf grey Stool",$54.99,122
860,"Bluetiful Bed",$389.99,47
861,"Fire opal Reclining Sofa","$1,119.99",82
862,"Sunglow End Table",$99.99,86
863,"Purple Plum Stool",$54.99,151
864,"Olive Reclining Sofa","$1,119.99",235
865,"Purple Plum Reclining Loveseat","$1,023.99",100
866,"Orange peel Nightstand",$81.99,105
867,"Antique fuchsia Dining Chair",$89.99,163
868,"Redwood Dining Table",$800,220
869,"Deep jungle green Sofa",$1249.99,197
870,"Tart Orange End Table",$99.99,124
871,"Persian rose Bed",$389.99,198
872,"Mauvelous Crib",$289,150
873,"Caribbean green Sleeper Sofa","$1,279.99",71
874,"Corn Headboard",$222.99,110
875,"Non-photo blue End Table",$99.99,128
876,"Dark khaki Bed",$389.99,87
877,"Paris Green Sectional","$1,039.99",58
878,"Carmine Wardrobe",$719.99,246
879,"Orange soda Bed",$389.99,115
880,"Livid blue Loveseat",$669.99,240
881,"Slate gray Loveseat",$669.99,53
882,"Beige Futon",$419.99,203
883,"Falu red Daybed",$711.99,87
884,"Van Dyke brown Crib",$289,179
885,"Schauss pink Storage Bench",$194.99,164
886,"Heliotrope gray Chaise Lounge",$235.99,101
887,"Dark blue-gray Nightstand",$81.99,128
888,"Steel blue Dining Chair",$89.99,215
889,"Golden brown Stool",$54.99,231
890,"English lavender Bed",$389.99,210
891,"Melon pink Stool",$54.99,60
892,"Pale spring bud Futon",$419.99,80
893,"Oxford blue Reclining Sofa","$1,119.99",115
894,"Corn Sleeper Sofa","$1,279.99",215
895,"Dark pastel green Loveseat",$669.99,29
896,"Raspberry glace Crib",$289,246
897,"Café noir Coffee Table",$222.95,129
898,"True Blue Plant Stand",$42.99,43
899,"Orchid pink Headboard",$222.99,46
900,"Space cadet blue Sectional","$1,039.99",175
901,"Olive Drab Plant Stand",$42.99,220
902,"University of Pennsylvania red Bench",$114.99,238
903,"Persian rose Sectional","$1,039.99",32
904,"Smoky black Storage Bench",$194.99,168
905,"Cool grey Stool",$54.99,153
906,"Chinese yellow Reclining Loveseat","$1,023.99",122
907,"Blue yonder Chaise Lounge",$235.99,31
908,"Tumbleweed brown Dining Chair",$89.99,42
909,"Ultramarine blue Crib",$289,60
910,"Black olive Plant Stand",$42.99,134
911,"Copper rose Daybed",$711.99,221
912,"Lavender blush Chaise Lounge",$235.99,68
913,"Alabaster Ottoman",$92.99,154
914,"Ghost white Wardrobe",$719.99,106
915,"Wheat gold Stool",$54.99,65
916,"Antique white Plant Stand",$42.99,243
917,"English red Daybed",$711.99,91
918,"Tawny Bed",$389.99,181
919,"English red Bed",$389.99,223
920,"Amaranth pink Sectional","$1,039.99",95
921,"Dark cyan Sofa",$1249.99,136
922,"Rose Dust Crib",$289,211
923,"Bright green Dining Table",$800,206
924,"Yellow-green Storage Bench",$194.99,109
925,"Paolo Veronese green Wardrobe",$719.99,199
926,"Pistachio Dresser",$599.99,238
927,"Vanilla End Table",$99.99,156
928,"Wine dregs maroon Bed",$389.99,150
929,"Yale Blue Chaise Lounge",$235.99,57
930,"Coral pink Dining Chair",$89.99,170
931,"Wisteria purple Reclining Loveseat","$1,023.99",74
932,"Blood red Stool",$54.99,136
933,"Brunswick green Chaise Lounge",$235.99,190
934,"Sunray gold Bench",$114.99,235
935,"Charcoal Storage Bench",$194.99,236
936,"Fuchsia Sectional","$1,039.99",188
937,"Beau blue Loveseat",$669.99,153
938,"Lavender blush Reclining Loveseat","$1,023.99",103
939,"Sizzling Sunrise yellow Bed",$389.99,159
940,"Sap green Sofa",$1249.99,243
941,"Steel pink Loveseat",$669.99,33
942,"Café noir Plant Stand",$42.99,124
943,"Periwinkle Nightstand",$81.99,223
944,"Pink Storage Bench",$194.99,102
945,"B'dazzled blue Futon",$419.99,241
946,"Wine red Headboard",$222.99,153
947,"Deep sky blue Chaise Lounge",$235.99,84
948,"Denim Wardrobe",$719.99,173
949,"Tango pink Bed",$389.99,202
950,"Straw Reclining Loveseat","$1,023.99",196
951,"Copper Bench",$114.99,33
952,"Pale purple Headboard",$222.99,84
953,"Spanish orange Stool",$54.99,87
954,"Cocoa brown Nightstand",$81.99,228
955,"Blanched almond Dresser",$599.99,181
956,"Minion yellow Storage Bench",$194.99,154
957,"Maximum yellow Chaise Lounge",$235.99,185
958,"Flax Chaise Lounge",$235.99,178
959,"Bright navy blue Dresser",$599.99,43
960,"International orange Sectional","$1,039.99",222
961,"Papaya whip Dresser",$599.99,105
962,"Sapphire Daybed",$711.99,51
963,"Rose bonbon Plant Stand",$42.99,175
964,"Super pink Wardrobe",$719.99,90
965,"Jazzberry jam Stool",$54.99,114
966,"Cadmium orange Futon",$419.99,246
967,"Japanese violet Storage Bench",$194.99,63
968,"Old mauve Chaise Lounge",$235.99,172
969,"Cotton candy Sofa",$1249.99,100
970,"Brandy Bench",$114.99,142
971,"Cyan Dining Table",$800,140
972,"Light salmon Daybed",$711.99,29
973,"Dark brown Plant Stand",$42.99,48
974,"Dark lava Sectional","$1,039.99",136
975,"Eggshell Coffee Table",$222.95,236
976,"Non-photo blue Sectional","$1,039.99",250
977,"Pullman Brown Dresser",$599.99,182
978,"Papaya whip Bench",$114.99,152
979,"Baby pink Futon",$419.99,59
980,"Burgundy Plant Stand",$42.99,87
981,"Pink lavender Futon",$419.99,78
982,"Eggplant Stool",$54.99,219
983,"Space cadet blue Bed",$389.99,40
984,"Seashell Crib",$289,248
985,"Rose Sleeper Sofa","$1,279.99",150
986,"China pink Sofa",$1249.99,151
987,"Burnt orange Nightstand",$81.99,241
988,"Dark cyan Futon",$419.99,216
989,"Rubine red Plant Stand",$42.99,177
990,"Seal brown Plant Stand",$42.99,84
991,"Red Salsa Sleeper Sofa","$1,279.99",127
992,"Canary Headboard",$222.99,88
993,"British racing green Crib",$289,145
994,"Light steel blue Ottoman",$92.99,124
995,"Palatinate purple Sofa",$1249.99,62
996,"Light cyan Dining Chair",$89.99,191
997,"Yellow Sunshine Dining Chair",$89.99,94
998,"Egyptian blue End Table",$99.99,61
999,"Light orange Ottoman",$92.99,84
1000,"Purple Plum Loveseat",$669.99,199
1001,"Orange soda Wardrobe",$719.99,150
1002,"Taupe gray Headboard",$222.99,202
1003,"Maximum blue purple Nightstand",$81.99,42
1004,"Oxford blue Ottoman",$92.99,244
1005,"Azure Headboard",$222.99,80
1006,"Ultramarine Dresser",$599.99,112
1007,"Acid green Bed",$389.99,227
1008,"Light orange Bench",$114.99,138
1009,"Deep jungle green Dining Chair",$89.99,250
1010,"Dark pastel green Dining Chair",$89.99,176
1011,"Spanish orange Nightstand",$81.99,125
1012,"Resolution blue Reclining Sofa","$1,119.99",215
1013,"Russian violet Dining Table",$800,47
1014,"Orange-red Chaise Lounge",$235.99,207
1015,"Light coral Reclining Loveseat","$1,023.99",39
1016,"Umber Headboard",$222.99,205
1017,"Viridian green Dining Chair",$89.99,150
1018,"Neon Carrot Reclining Loveseat","$1,023.99",197
1019,"June bud Sofa",$1249.99,201
1020,"UA blue Plant Stand",$42.99,238
1021,"Caribbean green Reclining Loveseat","$1,023.99",101
1022,"Steel blue Sectional","$1,039.99",53
1023,"China rose End Table",$99.99,121
1024,"Lime Dresser",$599.99,58
1025,"Little boy blue Dining Chair",$89.99,238
1026,"Upsdell red Headboard",$222.99,72
1027,"Bright green Dining Chair",$89.99,147
1028,"Dark jungle green Reclining Loveseat","$1,023.99",46
1029,"Laurel green Reclining Sofa","$1,119.99",223
1030,"Black bean Dresser",$599.99,58
1031,"Rose Sectional","$1,039.99",100
1032,"Solid pink Dining Table",$800,226
1033,"Strawberry Blonde Bed",$389.99,111
1034,"Platinum End Table",$99.99,119
1035,"Persian blue Storage Bench",$194.99,78
1036,"Green Lizard Wardrobe",$719.99,132
1037,"Antique brass Sectional","$1,039.99",193
1038,"Raw umber Sofa",$1249.99,120
1039,"Burlywood Plant Stand",$42.99,29
1040,"Light slate gray Sofa",$1249.99,85
1041,"Olivine Dresser",$599.99,156
1042,"Spanish orange Sectional","$1,039.99",50
1043,"Fire engine red Dining Chair",$89.99,162
1044,"Spring bud Chaise Lounge",$235.99,63
1045,"Alabaster End Table",$99.99,80
1046,"Orange Reclining Loveseat","$1,023.99",79
1047,"Fuzzy Wuzzy brown Ottoman",$92.99,94
1048,"Plum Chaise Lounge",$235.99,197
1049,"Nickel Reclining Sofa","$1,119.99",160
1050,"Old mauve Dining Table",$800,25
1051,"Maximum blue Sleeper Sofa","$1,279.99",225
1052,"May green Bench",$114.99,239
1053,"Livid blue Bed",$389.99,66
1054,"Pale spring bud Coffee Table",$222.95,246
1055,"Azure Dresser",$599.99,202
1056,"Deep champagne Daybed",$711.99,201
1057,"Ivory Dining Chair",$89.99,190
1058,"Lawn green Daybed",$711.99,196
1059,"Pink Sherbet Dresser",$599.99,127
1060,"May green Sofa",$1249.99,26
1061,"Pale spring bud Sofa",$1249.99,195
1062,"Nickel Nightstand",$81.99,121
1063,"Fire engine red Sectional","$1,039.99",187
1064,"Golden poppy Crib",$289,148
1065,"African violet Daybed",$711.99,170
1066,"Payne's grey Wardrobe",$719.99,192
1067,"Dark brown Dining Chair",$89.99,66
1068,"Amaranth pink End Table",$99.99,156
1069,"Spanish red Sofa",$1249.99,175
1070,"Sizzling Red Reclining Loveseat","$1,023.99",126
1071,"Spanish red End Table",$99.99,95
1072,"Arctic lime Stool",$54.99,215
1073,"Lion gold Reclining Loveseat","$1,023.99",212
1074,"Café au lait Bench",$114.99,102
1075,"Papaya whip Bench",$114.99,56
1076,"Maya blue Loveseat",$669.99,248
1077,"Purple Reclining Sofa","$1,119.99",170
1078,"Quinacridone magenta Nightstand",$81.99,171
1079,"Golden yellow Chaise Lounge",$235.99,236
1080,"Nadeshiko pink Bed",$389.99,181
1081,"Tiffany Blue Bench",$114.99,245
1082,"Copper red Sleeper Sofa","$1,279.99",78
1083,"English green End Table",$99.99,228
1084,"Burlywood Daybed",$711.99,247
1085,"Black Crib",$289,144
1086,"Yellow Sunshine Dresser",$599.99,146
1087,"Rebecca Purple Bed",$389.99,131
1088,"Flame Wardrobe",$719.99,148
1089,"Royal blue Sectional","$1,039.99",53
1090,"Bright yellow Nightstand",$81.99,219
1091,"Middle red Bed",$389.99,98
1092,"Maximum green yellow Bed",$389.99,54
1093,"Prussian blue Headboard",$222.99,122
1094,"Blast-off bronze Wardrobe",$719.99,204
1095,"Apple green Dining Chair",$89.99,177
1096,"Light goldenrod yellow Daybed",$711.99,241
1097,"Baby powder blue Dining Table",$800,78
1098,"Razzmic Berry Dining Chair",$89.99,106
1099,"Mint Nightstand",$81.99,88
1100,"Arctic lime Dining Table",$800,163
1101,"Raisin black End Table",$99.99,225
1102,"Battleship grey Bed",$389.99,98
1103,"Coral Sleeper Sofa","$1,279.99",42
1104,"Cadmium green Sofa",$1249.99,240
1105,"Barn red Bench",$114.99,119
1106,"Piggy pink Daybed",$711.99,167
1107,"Citron Reclining Loveseat","$1,023.99",91
1108,"Green Bed",$389.99,235
1109,"Tangerine Headboard",$222.99,232
1110,"Midnight blue Bed",$389.99,164
1111,"Myrtle Daybed",$711.99,138
1112,"Antique brass Ottoman",$92.99,250
1113,"Light sky blue Dresser",$599.99,121
1114,"Blue-green Wardrobe",$719.99,113
1115,"Shocking pink End Table",$99.99,217
1116,"Dark violet Reclining Sofa","$1,119.99",140
1117,"Quick Silver Dining Table",$800,80
1118,"Illuminating emerald Plant Stand",$42.99,112
1119,"International Klein Blue Sectional","$1,039.99",230
1120,"Brunswick green Dining Table",$800,208
1121,"Maize Chaise Lounge",$235.99,210
1122,"Steel blue Reclining Sofa","$1,119.99",161
1123,"Almond Bed",$389.99,209
1124,"English red Wardrobe",$719.99,55
1125,"Beige Headboard",$222.99,87
1126,"Wisteria purple Bench",$114.99,38
1127,"Spanish blue Sofa",$1249.99,31
1128,"Blue yonder Sofa",$1249.99,221
1129,"Minion yellow Sofa",$1249.99,88
1130,"Wheat gold Headboard",$222.99,182
1131,"Plum Storage Bench",$194.99,236
1132,"Copper red Daybed",$711.99,199
1133,"Olive Drab Wardrobe",$719.99,183
1134,"Blood red Loveseat",$669.99,39
1135,"Flax Futon",$419.99,187
1136,"Eggplant Reclining Loveseat","$1,023.99",80
1137,"Persian blue Sofa",$1249.99,217
1138,"Burnt orange Sofa",$1249.99,178
1139,"French mauve Sofa",$1249.99,177
1140,"Mint green Reclining Loveseat","$1,023.99",135
1141,"Japanese violet Crib",$289,228
1142,"Hollywood cerise Bench",$114.99,55
1143,"Khaki Reclining Loveseat","$1,023.99",148
1144,"Old gold Plant Stand",$42.99,98
1145,"Apple green Wardrobe",$719.99,183
1146,"Light yellow Bench",$114.99,225
1147,"Redwood Sectional","$1,039.99",51
1148,"Old gold Chaise Lounge",$235.99,232
1149,"Japanese carmine Reclining Sofa","$1,119.99",108
1150,"Ash gray Stool",$54.99,55
1151,"Radical Red Loveseat",$669.99,187
1152,"Brink pink Stool",$54.99,116
1153,"Raspberry rose Reclining Sofa","$1,119.99",101
1154,"Azure Sofa",$1249.99,142
1155,"Brown Bench",$114.99,191
1156,"Egyptian blue Storage Bench",$194.99,58
1157,"Nadeshiko pink Headboard",$222.99,112
1158,"Oxford blue Crib",$289,86
1159,"Battleship grey Chaise Lounge",$235.99,150
1160,"Arylide yellow Crib",$289,26
1161,"Amaranth pink Reclining Loveseat","$1,023.99",173
1162,"Ultra red Sleeper Sofa","$1,279.99",225
1163,"Café au lait Reclining Loveseat","$1,023.99",62
1164,"Pink flamingo Headboard",$222.99,205
1165,"Mystic maroon Loveseat",$669.99,38
1166,"Payne's grey Sectional","$1,039.99",216
1167,"Spanish blue Reclining Loveseat","$1,023.99",230
1168,"Pictorial carmine Bed",$389.99,243
1169,"Beige Sleeper Sofa","$1,279.99",171
1170,"Lime green Nightstand",$81.99,25
1171,"Aquamarine Sectional","$1,039.99",110
1172,"Sizzling Red Ottoman",$92.99,92
1173,"Red Salsa Dining Table",$800,98
1174,"Mauvelous End Table",$99.99,206
1175,"Powder blue Loveseat",$669.99,173
1176,"Metallic Sunburst Crib",$289,247
1177,"Dark jungle green Stool",$54.99,141
1178,"Tawny Headboard",$222.99,114
1179,"Blast-off bronze Sofa",$1249.99,25
1180,"Van Dyke brown Stool",$54.99,62
1181,"Russet brown Nightstand",$81.99,68
1182,"Congo pink Crib",$289,187
1183,"Blizzard blue Dining Table",$800,37
1184,"Olive green Futon",$419.99,178
1185,"Almond Coffee Table",$222.95,52
1186,"Light steel blue Daybed",$711.99,146
1187,"Deep saffron Loveseat",$669.99,170
1188,"Fire opal Crib",$289,145
1189,"Bud green Storage Bench",$194.99,99
1190,"Spanish gray Ottoman",$92.99,142
1191,"Cadmium green Crib",$289,127
1192,"Salmon pink Bed",$389.99,43
1193,"Antique ruby Chaise Lounge",$235.99,89
1194,"Misty rose Storage Bench",$194.99,104
1195,"Green-yellow Sleeper Sofa","$1,279.99",36
1196,"Ming Dining Table",$800,143
1197,"Dogwood rose Sleeper Sofa","$1,279.99",75
1198,"Pale silver Chaise Lounge",$235.99,176
1199,"Thulian pink Plant Stand",$42.99,120
1200,"Mahogany Sectional","$1,039.99",221
1201,"June bud Sectional","$1,039.99",134
1202,"Macaroni and Cheese Sectional","$1,039.99",213
1203,"Royal yellow Reclining Loveseat","$1,023.99",73
1204,"Brick red Wardrobe",$719.99,82
1205,"Persian red Wardrobe",$719.99,72
1206,"Deep Space Sparkle Sectional","$1,039.99",158
1207,"Bright green Futon",$419.99,74
1208,"Ghost white Bench",$114.99,26
1209,"Violet-red Futon",$419.99,179
1210,"Brunswick green Daybed",$711.99,217
1211,"Spring Frost Storage Bench",$194.99,152
1212,"Radical Red Daybed",$711.99,172
1213,"Fire opal Headboard",$222.99,52
1214,"Dark pastel green Reclining Loveseat","$1,023.99",61
1215,"Pewter Blue Plant Stand",$42.99,90
1216,"Raspberry rose Dining Table",$800,83
1217,"Mango Tango Reclining Sofa","$1,119.99",212
1218,"Safety yellow End Table",$99.99,132
1219,"Orange Dresser",$599.99,238
1220,"Purple pizzazz Bed",$389.99,166
1221,"Puce Stool",$54.99,235
1222,"Orange soda Futon",$419.99,86
1223,"Slate blue Reclining Loveseat","$1,023.99",210
1224,"Chinese yellow Futon",$419.99,57
1225,"Lilac Reclining Loveseat","$1,023.99",217
1226,"Jazzberry jam End Table",$99.99,81
1227,"Rebecca Purple Reclining Sofa","$1,119.99",71
1228,"Chartreuse Daybed",$711.99,71
1229,"Honeydew Sectional","$1,039.99",94
1230,"Unmellow yellow Ottoman",$92.99,91
1231,"Mauve Stool",$54.99,36
1232,"Wheat gold Reclining Sofa","$1,119.99",175
1233,"Pumpkin Bench",$114.99,242
1234,"Alabaster Reclining Sofa","$1,119.99",201
1235,"Palatinate purple Nightstand",$81.99,234
1236,"Midnight blue Dining Chair",$89.99,64
1237,"Sheen green Dining Chair",$89.99,88
1238,"Jet Sleeper Sofa","$1,279.99",31
1239,"Azure Dining Chair",$89.99,82
1240,"Raisin black End Table",$99.99,243
1241,"Robin egg blue Sofa",$1249.99,145
1242,"Portland Orange Bench",$114.99,136
1243,"Avocado Nightstand",$81.99,80
1244,"Cadmium green Storage Bench",$194.99,202
1245,"Dark brown Reclining Loveseat","$1,023.99",215
1246,"Cosmic latte Sleeper Sofa","$1,279.99",126
1247,"Roman silver Sectional","$1,039.99",27
1248,"Pale Dogwood Dining Table",$800,76
1249,"Lincoln green Loveseat",$669.99,92
1250,"Teal blue Dresser",$599.99,103
1251,"Steel Teal Dining Chair",$89.99,143
1252,"Moss green Dining Chair",$89.99,87
1253,"Tickle Me Pink Futon",$419.99,102
1254,"Spanish carmine Bench",$114.99,59
1255,"Sizzling Sunrise yellow Reclining Sofa","$1,119.99",26
1256,"Nickel Dining Table",$800,202
1257,"French beige Reclining Loveseat","$1,023.99",103
1258,"Magic mint Dining Table",$800,220
1259,"Rust Storage Bench",$194.99,126
1260,"Orange Dining Table",$800,156
1261,"Tiffany Blue Bench",$114.99,195
1262,"Celadon green Plant Stand",$42.99,223
1263,"Dark electric blue Loveseat",$669.99,208
1264,"Mint End Table",$99.99,169
1265,"Cosmic cobalt Dresser",$599.99,218
